mag_id	mag_len	has_crispr	sample_id	domain	phylum	class	order	family	genus	species	perc_abun
TLL01_bin.12	1850605	0	TLL1	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella multacida	0.6058217328077664
TLL01_bin.13	4164211	0	TLL1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	Enterococcus_A avium	3.0505529095832995
TLL01_bin.16	1812091	0	TLL1	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella_E	Olsenella_E sp003609875	1.6636988538548123
TLL01_bin.17	1824966	1	TLL1	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera sp000417505	0.8774314055404788
TLL01_bin.20	2461934	1	TLL1	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	3.340300571493341
TLL01_bin.23	3179581	0	TLL1	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	Mediterraneibacter	0.8160438914547038
TLL01_bin.25	1918899	0	TLL1	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	RUG013	RUG013	2.2765275572664616
TLL01_bin.27	2179565	1	TLL1	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas funiformis	10.490097630148286
TLL01_bin.29	2693940	1	TLL1	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium	Catenibacterium sp000437715	12.599712034664034
TLL01_bin.3	2732785	0	TLL1	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea faecis	0.4893266728906501
TLL01_bin.30	2526810	1	TLL1	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella	Eggerthella lenta	0.6561275536526392
TLL01_bin.31	1890067	0	TLL1	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B	Ruminococcus_B gnavus	8.926490424631805
TLL01_bin.32	1671582	0	TLL1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B faecium	0.737967028814999
TLL01_bin.33	1850302	1	TLL1	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera_B	Megasphaera_B sp900549385	2.8337024718674075
TLL01_bin.36	3868497	1	TLL1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae	1.2110975336176677
TLL01_bin.4	1381944	0	TLL1	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Allisonella	Allisonella histaminiformans	0.4855218730100789
TLL01_bin.40	1996011	0	TLL1	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini	2.3851151431780138
TLL01_bin.41	2863615	0	TLL1	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia sp002161285	0.3423656649876942
TLL01_bin.43	4278161	1	TLL1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	1.6934940390758213
TLL01_bin.48	2115354	1	TLL1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus ruminis	11.146412584859185
TLL01_bin.49	1756283	1	TLL1	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427	CAG-1427 sp000436075	2.17497893820601
TLL01_bin.5	1893573	0	TLL1	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	25.00463155462424
TLL01_bin.7	2307302	0	TLL1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_C	Enterococcus_C asini	1.09985111953734
TLL01_bin.9	873790	1	TLL1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus mucosae	5.09273081023327
TLL02_bin.1	1555059	0	TLL2	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp000436615	1.4223010994433334
TLL02_bin.10	2155281	1	TLL2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus ruminis	9.154718425660215
TLL02_bin.12	1183526	0	TLL2	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp002232035	3.915661237813102
TLL02_bin.13	4486266	1	TLL2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	4.749822777513881
TLL02_bin.22	4697130	1	TLL2	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	4.265058150637637
TLL02_bin.23	4579031	0	TLL2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	0.5723723282521237
TLL02_bin.28	1596137	0	TLL2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	0.3412776005331394
TLL02_bin.3	1870960	1	TLL2	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira rogosae	1.421737315738707
TLL02_bin.30	1922826	0	TLL2	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	TF01-11 sp000436755	0.3761956792049751
TLL02_bin.41	2009198	0	TLL2	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003479805	2.206926877235175
TLL02_bin.48	4033641	1	TLL2	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.4536607132123502
TLL02_bin.5	2639725	1	TLL2	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	0.9771138394536096
TLL02_bin.54	2112969	1	TLL2	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella_B	Olsenella_B	2.007211101236603
TLL02_bin.56	4758605	1	TLL2	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp900066165	0.7871538986095593
TLL02_bin.58	2715719	1	TLL2	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Faecalimonas	Faecalimonas nexilis	0.4606052834211107
TLL02_bin.59	1769289	0	TLL2	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Enorma massiliensis	0.3775248776093447
TLL02_bin.61	2499983	0	TLL2	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella	Eggerthella lenta	0.4315251953721925
TLL02_bin.63	3039368	1	TLL2	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp900066335	5.843540480667513
TLL02_bin.66	1794261	0	TLL2	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii_G	14.957605154084568
TLL02_bin.68	2138088	0	TLL2	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella	0.9233965094724876
TLL02_bin.71	2383642	1	TLL2	Bacteria	Firmicutes_C	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas funiformis	4.344195351781873
TLL02_bin.72	1577211	1	TLL2	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera sp000417505	13.49603303088274
TLL02_bin.76	1966538	0	TLL2	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-217	CAG-217 sp000436335	2.863690010089243
